		
Clec3b	iCAF	Elyada2019
Gsn	iCAF	Elyada2019
Ptx3	iCAF	Elyada2019
Ly6c1	iCAF	Elyada2019
Efemp1	iCAF	Elyada2019
Ly6a	iCAF	Elyada2019
Figf	iCAF	Elyada2019
Tnfaip6	iCAF	Elyada2019
Ifi27l2a	iCAF	Elyada2019
Dpt	iCAF	Elyada2019
Adm	iCAF	Elyada2019
Plpp3	iCAF	Elyada2019
Tnxb	iCAF	Elyada2019
Cxcl12	iCAF	Elyada2019
Gstm1	iCAF	Elyada2019
C4b	iCAF	Elyada2019
Ogn	iCAF	Elyada2019
C3	iCAF	Elyada2019
Pcolce2	iCAF	Elyada2019
Cxcl1	iCAF	Elyada2019
Col14a1	iCAF	Elyada2019
Svep1	iCAF	Elyada2019
Adamts5	iCAF	Elyada2019
Hp	iCAF	Elyada2019
Has1	iCAF	Elyada2019
Scara3	iCAF	Elyada2019
Ifi205	iCAF	Elyada2019
Dpep1	iCAF	Elyada2019
Sfrp4	iCAF	Elyada2019
Prss23	iCAF	Elyada2019
Ackr3	iCAF	Elyada2019
Htra3	iCAF	Elyada2019
Apoe	iCAF	Elyada2019
Ccl7	iCAF	Elyada2019
Il6	iCAF	Elyada2019
Sfrp2	iCAF	Elyada2019
Pla1a	iCAF	Elyada2019
Scara5	iCAF	Elyada2019
Sned1	iCAF	Elyada2019
Slpi	apCAF	Elyada2019
Saa3	apCAF	Elyada2019
Cd74	apCAF	Elyada2019
Serpinb2	apCAF	Elyada2019
Msln	apCAF	Elyada2019
Lgals7	apCAF	Elyada2019
H2-Ab1	apCAF	Elyada2019
Upk3b	apCAF	Elyada2019
Krt19	apCAF	Elyada2019
Nkain4	apCAF	Elyada2019
Calca	apCAF	Elyada2019
Slc9a3r1	apCAF	Elyada2019
Clu	apCAF	Elyada2019
Enpp2	apCAF	Elyada2019
Krt8	apCAF	Elyada2019
H2-Eb1	apCAF	Elyada2019
Hspb1	apCAF	Elyada2019
Upk1b	apCAF	Elyada2019
H2-Aa	apCAF	Elyada2019
Ptgis	apCAF	Elyada2019
Cxadr	apCAF	Elyada2019
Krt18	apCAF	Elyada2019
Ezr	apCAF	Elyada2019
Dmkn	apCAF	Elyada2019
Angptl7	apCAF	Elyada2019
Krt7	apCAF	Elyada2019
Arhgdib	apCAF	Elyada2019
Cav1	apCAF	Elyada2019
Ear1	apCAF	Elyada2019
Fth1	apCAF	Elyada2019
Cxcl5	apCAF	Elyada2019
Gpm6a	apCAF	Elyada2019
Sdc4	apCAF	Elyada2019
Trf	apCAF	Elyada2019
Spint2	apCAF	Elyada2019
Spp1	myCAF	Elyada2019
Serpine2	myCAF	Elyada2019
Cxcl14	myCAF	Elyada2019
Crlf1	myCAF	Elyada2019
Igfbp3	myCAF	Elyada2019
Acta2	myCAF	Elyada2019
Tagln	myCAF	Elyada2019
Thy1	myCAF	Elyada2019
Col8a1	myCAF	Elyada2019
Cthrc1	myCAF	Elyada2019
Sfrp1	myCAF	Elyada2019
Tnc	myCAF	Elyada2019
Sparcl1	myCAF	Elyada2019
Col15a1	myCAF	Elyada2019
Col12a1	myCAF	Elyada2019
Tgfb1	myCAF	Elyada2019
Col1a1	myCAF	Elyada2019
Sdc1	myCAF	Elyada2019
Cilp	myCAF	Elyada2019
H19	myCAF	Elyada2019
Thbs2	myCAF	Elyada2019
Esam	vCAF	Bartoschek2018
Gng11	vCAF	Bartoschek2018
Higd1b	vCAF	Bartoschek2018
Cox4i2	vCAF	Bartoschek2018
Cygb	vCAF	Bartoschek2018
Gja4	vCAF	Bartoschek2018
Eng	vCAF	Bartoschek2018
Dcn	mCAF	Bartoschek2018
Col12a1	mCAF	Bartoschek2018
Mmp2	mCAF	Bartoschek2018
Lum	mCAF	Bartoschek2018
Mrc2	mCAF	Bartoschek2018
Bicc1	mCAF	Bartoschek2018
Lrrc15	mCAF	Bartoschek2018
Mfap5	mCAF	Bartoschek2018
Col3A1	mCAF	Bartoschek2018
Mmp14	mCAF	Bartoschek2018
Spon1	mCAF	Bartoschek2018
Pdgfrl	mCAF	Bartoschek2018
Serpinf1	mCAF	Bartoschek2018
Lrp1	mCAF	Bartoschek2018
Gfpt2	mCAF	Bartoschek2018
Ctsk	mCAF	Bartoschek2018
Cdh11	mCAF	Bartoschek2018
Itgbl1	mCAF	Bartoschek2018
Col6a2	mCAF	Bartoschek2018
Postn	mCAF	Bartoschek2018
Ccdc80	mCAF	Bartoschek2018
Lox	mCAF	Bartoschek2018
Vcan	mCAF	Bartoschek2018
Col1a1	mCAF	Bartoschek2018
Fbn1	mCAF	Bartoschek2018
Col1a2	mCAF	Bartoschek2018
Pdpn	mCAF	Bartoschek2018
Col6a1	mCAF	Bartoschek2018
Fstl1	mCAF	Bartoschek2018
Col5a2	mCAF	Bartoschek2018
Aebp1	mCAF	Bartoschek2018
Tspan2	dCAF	Bartoschek2018
Reck	dCAF	Bartoschek2018
